시,"사용자 성명","영향받는 사용자","이벤트 문맥",구성요소,"이벤트 이름",설명,오리진,"ip 주소"
"30/10/23, 15:23:11","lee lee","admin lms","강좌: 파이썬 기초",시스템,"사용자 프로파일 봄","The user with id '3' viewed the profile for the user with id '2' in the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:01","lee lee",-,"포럼: 강좌공지",포럼,"토론 봄","The user with id '3' has viewed the discussion with id '1' in the forum with course module id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:58","lee lee",-,"포럼: 강좌공지",포럼,"감좌 모듈 봄","The user with id '3' viewed the 'forum' activity with course module id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:56","lee lee",-,"강좌: 파이썬 기초","User tours","Tour ended","The user with id '3' has ended the tour with id '1' at step index '0' (id '1') on the page with URL 'http://localhost/course/view.php?id=2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:53","lee lee",-,"강좌: 파이썬 기초","User tours","Tour started","The user with id '3' has started the tour with id '1' on the page with URL 'http://localhost/course/view.php?id=2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:53","lee lee",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:53","lee lee",-,시스템,시스템,"사용자가 로그인 하였습니다.","The user with id '3' has logged in.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:46","lee lee",-,시스템,시스템,"사용자 로그인 실패","Login failed for user 'learner01'. Most likely the password did not match (error ID '3').",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:35",-,-,"시작 페이지",시스템,"강좌 봄","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:20","admin lms",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '2' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:18","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:17","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:16","admin lms","admin lms","사용자: admin lms",시스템,"강의 현황","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:14","admin lms",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '2' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:11","admin lms",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '2' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:22:11","admin lms",-,"피드백(설문): 강의 리뷰",시스템,"강좌 모듈이 업데이트 되었습니다.","The user with id '2' updated the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:21:39","admin lms",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '2' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:21:37","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:21:37","admin lms",-,"피드백(설문): 강의 리뷰",시스템,"강좌 모듈이 생성되었습니다.","The user with id '2' created the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:21:13","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:21:02","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:21:00","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:20:41","admin lms","kim kim","사용자: kim kim",시스템,"사용자가 생성되었습니다.","The user with id '2' created the user with id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:20:02","admin lms","choi choi","사용자: choi choi",시스템,"사용자 프로파일 봄","The user with id '2' viewed the profile for the user with id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:25","admin lms",-,"시작 페이지",시스템,"사용자 목록 봄","The user with id '2' viewed the list of users in the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:24","admin lms",-,"시작 페이지",시스템,"강좌 봄","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:22","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:19","admin lms",-,"시작 페이지",시스템,"강좌 봄","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:19","admin lms","admin lms","사용자: admin lms",시스템,"강의 현황","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:18","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:03","admin lms",-,"강좌: 파이썬 기초",시스템,"사용자 목록 봄","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:02","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:01","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:19:00","admin lms","admin lms","사용자: admin lms",시스템,"강의 현황","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:18:59","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:18:58","admin lms",-,"시작 페이지",시스템,"사용자 목록 봄","The user with id '2' viewed the list of users in the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:18:50","admin lms",-,"시작 페이지",시스템,"사용자 목록 봄","The user with id '2' viewed the list of users in the course with id '1'.",web,0:0:0:0:0:0:0:1
